Equity,PE,PB,PEG,Free_CASH,SI_INT,DIV_PAY,QUICK_RATIO,ALT_SCORE,MKT_TO_BOOK,DEBT_TO_EBITBA,M3_LOW_VOL
HFC,8.1746,1.0649,1.359,5.0356,2.67,,0.6536,5.0867,1.0807,0.6539,FALSE
RPM,15.3993,3.9388,1.441,6.769,2.67,42.6503,1.3638,4.2828,3.9245,2.588,FALSE
JKHY,27.8037,6.6197,2.255,5.4201,5.12,33.4775,0.6059,8.5452,6.6203,0.2208,TRUE
FHN,13.6453,1.2832,1.113,11.533,3.88,30.7563,,,1.2598,,FALSE
SAFM,11.6897,1.8002,6.909,4.8469,12.27,58.5096,1.9199,8.7517,1.7997,0.0244,FALSE
GILD,7.3205,6.6942,2.444,15.3104,2.47,13.2394,2.0932,6.3256,6.7844,0.9523,FALSE
SCHL,38.6306,0.9204,0,-11.8543,13,7.8798,1.2277,3.5198,0.9204,0.2731,FALSE
ETH,16.0252,1.9532,0.907,6.7481,10.92,23.9661,0.555,4.5439,1.9532,0.2041,FALSE
GTY,12.0605,1.4419,0,-29.0148,8.53,77.0621,,,1.4419,6.2003,FALSE
HAS,20.4622,5.3956,1.852,4.5714,3,32.7082,2.0613,4.2319,5.3882,2.0203,FALSE
SCL,13.0626,1.7253,0,6.5203,4.27,33.5452,1.7503,3.5975,1.7237,1.7527,FALSE
PRGS,170.2727,2.153,0,8.6782,3.55,,1.5393,4.5635,2.1669,2.5582,TRUE
HBAN,9.8981,1.084,1.667,13.9449,3.07,32.6823,,,1.0864,,TRUE
SMG,17.7267,6.8182,1.494,2.818,1,,0.5732,4.0433,7.6409,4.1271,FALSE
RGLD,37.7926,1.0778,3.391,-48.7533,2.38,99.027,6.8483,,1.0871,2.9895,FALSE
HCN,24.538,1.4557,6.022,-12.6604,3.79,219.4547,,,1.4521,6.5383,FALSE
SNPS,27.8327,2.0753,1.485,7.2965,2.25,0,0.8557,4.8016,2.0745,0.4286,TRUE
LLTC,20.0637,5.9567,2.623,6.0618,4.13,60.4779,8.6826,22.6414,5.9489,0,FALSE
SFNC,12.73,1.1857,0,6.6695,8.02,29.2953,,,1.1724,,FALSE
RRC,69.4013,1.7204,0,-7.537,4.53,,0.3534,0.5738,1.7209,,FALSE
ARRS,25.666,1.8993,0,8.7901,3.3,0,1.5119,,2.5132,2.9939,FALSE
NBR,0,0.4005,0,-0.3898,1.76,,1.0524,0.9389,0.4038,3.6373,FALSE
SHLM,10.3646,1.1751,0,7.4585,5.61,115.8907,1.0495,3.1183,1.1752,7.2066,FALSE
PTEN,0,0.7349,0,13.7649,3.54,,1.0808,1.3347,0.735,1.8677,FALSE
NE,2.7875,0.2619,0.544,75.4988,4.59,,1.1708,1.4696,0.2619,2.888,FALSE
ICON,4.6338,0,0,0,13.28,,,,0,,FALSE
NTRS,14.6206,1.6009,1.223,10.4317,1.89,36.716,,,1.6143,,FALSE
SIGI,12.1919,1.3589,7.434,19.2909,2.86,18.9873,,,1.355,,TRUE
RS,12.6389,1.0531,1.136,20.0592,4.06,42.3408,1.0315,4.943,1.0517,2.5208,FALSE
ADTN,64.9607,2.0353,2.509,0.6405,4.3,77.9993,2.0602,5.6256,1.8878,1.0063,FALSE
PAYX,24.0689,9.0618,2.357,4.7644,4.28,80.0708,0.1789,4.3941,9.063,0,FALSE
PBCT,16.8111,0.9305,1.275,5.6692,6.43,71.2676,,,0.9533,,TRUE
STC,9.0595,1.2318,0,7.9367,2.21,269.6315,,,1.2289,,FALSE
HSIC,24.7416,4.2181,2.071,4.2261,4.84,0,0.6064,7.0457,4.2442,0.9066,FALSE
CNO,10.5433,0.6875,0,0,4.91,9.4683,,,0.6947,,FALSE
PDCO,18.7897,3.002,1.54,-1.4398,6.32,52.158,1.0395,5.5433,3.0124,2.8647,TRUE
SIVB,12.6873,1.3554,1.037,6.6326,3,0,,,1.3523,,FALSE
ANSS,29.9147,3.3377,1.833,4.7234,5.72,0,1.8098,13.0769,3.37,0,FALSE
SMTC,50.4397,1.9935,2.726,0,3.57,0,2.5783,3.9873,1.9935,3.1734,FALSE
FDS,24.2427,10.2083,1.898,4.7279,5.37,0,2.4637,14.9365,10.1609,0.8096,FALSE
QCOM,12.3567,2.1559,0.935,7.5077,1.29,48.7316,2.745,4.7098,2.1558,1.6375,FALSE
SMRT,12.525,3.9681,0.634,-1.9875,11.66,53.886,0.0504,,3.9563,2.3729,FALSE
PLCM,15.7078,1.1311,0.683,5.9987,4.88,0,2.1357,3.0964,1.1293,1.5495,FALSE
ROP,24.1556,3.0806,2,5.4815,2.4,12.0842,1.7591,9.7885,3.0786,2.6548,FALSE
ROST,21.7685,8.8753,1.848,4.3752,2.51,21.8754,0.3249,,8.9341,0.2112,TRUE
PII,11.5807,5.1509,0.899,3.6845,5.92,31.3239,0.3703,6.1437,5.1707,0.5336,FALSE
AN,11.9807,2.1903,1.259,4.9027,2.31,0,0.0402,3.9777,2.1868,6.0907,FALSE
SBSI,12.8148,1.3091,0,11.7604,12.44,67.2853,,,1.3079,,FALSE
SONC,21.5861,0,1.073,6.7067,5.16,44.3435,0.869,2.5718,-60.5434,3.0668,FALSE
SBUX,33.4685,13.5161,1.542,3.2183,1.09,43.2199,0.7114,11.4784,13.4478,0.4986,TRUE
ROVI,129.0311,1.4263,0.911,8.8415,4.93,0,3.1826,-1.2574,1.4263,5.8211,FALSE
KEY,9.7283,0.8353,1.349,12.1028,2.46,27.6786,,,0.8265,,TRUE
STBA,12.4381,1.1117,0,6.5549,10.59,37.8867,,,1.1117,,FALSE
AMG,12.9107,2.359,0.702,17.9163,2.2,0,,,2.2844,2.587,FALSE
SPLS,8.711,1.0089,14.887,11.0199,4.25,38.9697,0.8268,4.4747,1.0057,1.3358,TRUE
STE,21.8875,1.9185,1.232,1.9824,4.8,92.3065,0.8346,4.2971,1.919,0.9443,FALSE
TTWO,0,5.7109,1.931,10.5811,4.94,,1.0161,1.051,5.5557,,TRUE
STT,10.1588,1.1628,1.461,-9.3159,2.16,24.9898,,,1.174,,FALSE
MKTX,42.1181,10.2429,2.565,2.9405,6.41,29.9481,6.7227,55.0714,10.2107,0,FALSE
USB,12.6324,1.7001,2.001,12.6517,1.81,31.9971,,,1.7083,,FALSE
JLL,10.3803,1.7579,0.788,4.7741,0.99,6.6677,0.8285,3.9204,1.7576,0.9079,FALSE
SYMC,15.5598,2.2801,2.242,5.7001,0.68,87.5,0.7209,2.9284,2.2636,1.6877,FALSE
MSTR,16.525,3.8053,1.247,8.4785,5.69,0,3.2076,8.1614,3.7932,0,FALSE
TROW,14.8674,3.4972,1.625,7.9683,3.36,43.3981,,,3.4652,0,FALSE
WM,20.0184,4.4575,2.296,5.2345,4.88,63.0037,0.6327,2.4006,4.4508,2.7298,FALSE
CBS,12.8223,3.5497,0.706,5.8325,2.86,28.0279,1.1098,-1.7789,3.649,3.1736,FALSE
AWR,28.8938,3.6216,6.281,0.3986,3.67,70.6368,0.4126,1.9092,3.6441,2.1956,TRUE
AGN,164.9751,1.5028,1.381,3.9329,1.99,,0.4211,1.7111,1.5014,11.771,FALSE
TNC,20.7621,3.6698,1.737,2.1975,8.1,26.7455,1.4086,7.0213,3.689,0.3462,FALSE
WFM,17.2147,2.922,2.033,1.9043,4.58,28.0255,0.8247,5.6006,2.9224,0.8097,FALSE
STZ,27.8288,4.176,1.68,2.749,1.33,22.6101,0.6279,4.69,4.1832,3.8537,FALSE
TECH,31.9187,3.6781,0,3.6672,6.04,46.0349,5.0255,12.7552,3.6781,0.9037,FALSE
MDRX,181.81,1.6243,1.083,8.6183,7.37,0,0.867,2.3426,1.6218,3.2405,FALSE
XLNX,22.8974,4.6594,2.436,6.1417,2.69,60.7706,3.8586,5.3756,4.6594,2.1922,FALSE
TFX,28.1582,2.7756,1.741,4.2952,13.86,15.6125,0.9011,5.6596,2.7751,2.5123,FALSE
CRL,19.0355,4.3419,1.363,7.1129,2.44,0,1.2446,1.7291,4.335,2.8641,FALSE
SLAB,47.2106,2.1376,1.708,5.7098,3.19,0,2.2245,8.1076,2.1287,1.049,FALSE
XRAY,23.6179,3.415,2.075,5.3351,6.2,17.3208,1.438,6.7306,3.4134,2.315,FALSE
ZION,16.7132,0.6357,1.245,8.9403,3.34,14.0005,,,0.6353,,FALSE
SGMS,0,0,0,37.5443,15.5,,1.1982,-1.0801,-0.2804,29.458,FALSE
DNR,2.1568,0.3321,0,74.0125,5.04,,0.241,-3.1158,0.333,,FALSE
BLKB,61.6807,11.3686,1.247,4.1143,6.01,85.6657,0.1685,2.8871,11.3515,3.9783,FALSE
IVZ,10.8244,1.3581,1.113,8.4788,1.03,56.3645,,,1.3788,5.2638,FALSE
TRMB,37.1523,2.1256,1.191,6.4514,2.68,0,0.7231,5.614,2.1237,2.0642,FALSE
INTU,38.7617,36.6247,1.473,3.6014,4.51,272.069,0.3169,6.2446,37.1212,0.9551,FALSE
TRST,12.4818,1.2769,0,10.6785,4.36,61.5324,0.3602,,1.2769,,TRUE
OIS,33.5458,0.9374,0,12.0709,2.07,0,1.5525,4.4547,0.9346,0.693,FALSE
MS,9.1056,0.6507,0.456,5.7175,0.85,37.2829,,,0.6562,25.2909,FALSE
TTI,20.1442,1.6636,0,18.981,1.55,,1.1187,1.2888,1.663,4.6849,FALSE
MCHP,24.5414,3.9487,1.878,7.2828,6.71,119.0962,3.6518,3.2998,3.9488,3.6264,FALSE
UBSI,17.3106,1.3948,0,7.2655,21.41,68.6074,,,1.3942,,FALSE
CB,11.3907,1.2319,1.11,10.7289,1.81,31.918,,,1.7502,,FALSE
UFCS,10.5929,1.0437,0,19.2969,4.2,18.1582,,,1.0405,,FALSE
CHK,0,0,0,-196.5678,5.63,,0.5303,-3.729,-1.4028,,FALSE
KMPR,16.5928,0.6582,1.416,16.3122,5.67,953.8462,,,0.6573,,FALSE
JBL,9.9794,1.5411,0.639,4.7376,5.25,12.0605,0.4856,2.6875,1.5411,1.8157,FALSE
VAL,18.2906,7.4997,1.227,5.0263,3.84,23.4476,0.7633,4.1644,7.4991,2.756,FALSE
ORLY,25.4049,11.7749,1.393,3.66,3.75,0,0.0911,5.4947,11.8837,0.8061,FALSE
VMI,18.6914,2.6208,1.526,9.2824,6.74,,2.2248,3.855,2.6417,3.4375,FALSE
ALL,12.1814,1.3176,1.158,13.1927,0.89,25.1087,,,1.3394,,FALSE
VICR,29.3089,2.1949,0,0.8071,11.12,,4.3183,11.6632,2.1948,0,TRUE
FLIR,18.2836,2.3948,1.322,5.1832,2.47,21.6512,1.3648,6.4816,2.4453,1.0089,FALSE
VOXX,0,0.2112,0,18.9965,7.65,0,0.4984,2.4023,0.2112,10.4359,FALSE
EQR,30.3574,2.4941,8.179,0.7149,2.2,98.3747,,,2.4908,6.1687,FALSE
TTEK,15.8984,1.8017,1.205,10.3566,5.6,20.3307,1.1088,4.92,1.793,1.5203,FALSE
BBG,0,0.2786,0,-89.1211,7.66,,1.1864,-1.0103,0.2792,,FALSE
BWA,10.4261,1.8274,0.998,4.3983,3.1,23.1261,0.9514,3.4573,1.8676,2.0367,FALSE
WTS,43.2748,2.3982,1.56,4.6027,10.11,,1.6359,3.0688,2.404,,FALSE
NFX,24.8663,2.8217,0,-14.8085,1.81,,0.4127,-2.0949,2.8203,,FALSE
WBS,15.2415,1.9311,1.781,9.0069,3.83,41.6339,,,1.9336,,FALSE
VIAV,0,1.7542,0.99,-3.4835,1.75,0,4.1479,-65.1749,1.7447,8.0617,TRUE
WDFC,33.1494,9.7405,0,3.6865,5.46,45.3782,3.3525,-64.0445,9.7356,1.6069,FALSE
URBN,12.7592,2.4336,0.982,0,3.18,0,0.7607,,2.4336,0.2288,FALSE
WERN,17.9751,2.0707,1.419,-4.3161,5.36,11.8561,1.6029,,2.0707,0.1905,FALSE
SPG,31.3981,12.4931,4.162,1.0732,2.74,126.1979,,,12.493,5.7578,FALSE
WAFD,11.9401,0.9654,1.224,7.3154,5.96,34.2926,,,0.9513,,FALSE
EMN,8.051,2.1907,1.464,11.0619,1.48,55.0516,0.5277,2.6611,2.2033,3.6005,FALSE
JW/A,13.6424,2.2844,0,9.6719,4.37,40.0204,0.8286,4.3808,2.3006,2.6763,FALSE
AVB,30.7962,2.243,5.387,-2.6602,3.08,48.7173,0.9332,3.2078,2.241,3.023,FALSE
WIRE,15.3886,1.3535,1.182,3.7126,7.34,3.7756,4.2289,8.814,1.3522,0,FALSE
PRU,8.4611,0.6787,0.575,48.3689,1.13,43.5222,,,0.6816,,FALSE
WRLD,2.6825,0.7843,0,71.9599,20.95,0,,,0.7896,2.5462,FALSE
UPS,17.9276,34.9844,1.722,5.7472,2.64,48.9775,1.1088,4.1312,35.1588,1.4699,FALSE
AIV,23.3224,3.8224,7.836,-0.1339,1.67,70.1053,,,3.8248,6.8854,FALSE
WSO,22.5769,4.7974,1.388,5.5188,2.5,93.3404,1.7991,10.4395,4.0857,0.6913,FALSE
WR,21.5792,1.7391,4.078,0.1752,1.92,130.0285,0.3125,1.0428,1.7389,3.7354,FALSE
ZBRA,305.1833,3.124,0.605,-0.3949,5.57,,0.9886,3.3715,3.1203,8.0685,FALSE
MCK,14.7399,3.8798,0.901,5.5457,0.72,10.2385,0.6035,3.5626,3.8728,1.9814,FALSE
DF,17.8279,3.1878,2.563,13.7145,6.21,33.9856,0.9366,4.1734,3.1853,3.1173,FALSE
SKT,13.8643,5.108,4.045,-0.6469,3.76,25.2575,,,5.1062,6.2956,FALSE
LMT,18.1643,21.1308,2.527,6.2133,1.91,54.1265,0.651,3.1079,21.4303,2.3617,FALSE
ABC,45.4507,13.45,0.952,19.2648,3.68,21.2185,0.3896,6.5002,13.3944,7.3578,FALSE
SIG,13.473,2.4977,0.785,2.836,2.8,116.6667,1.0603,4.846,2.5018,1.945,FALSE
CAM,15.8672,2.6078,0,3.5721,0.94,0,1.082,3.0208,2.6136,3.2708,FALSE
LTC,22.0251,2.5022,4.958,-7.1731,4.42,110.2793,,,2.3705,4.8627,FALSE
COF,8.669,0.7482,1.102,28.3322,1.64,25.5981,,,0.755,6.154,FALSE
OHI,17.6158,1.3797,4.948,3.4381,4.71,172.8592,,,1.3771,5.7383,FALSE
WAT,19.9497,4.5836,1.967,4.8275,5.31,0,5.0837,4.8789,4.5944,2.5376,FALSE
TCO,34.3286,0,6.169,-3.2282,2.63,132.1866,,,-16.1721,9.1005,FALSE
DLTR,28.2003,4.0117,0.991,1.5985,4.47,0,0.514,3.5995,4.0087,6.2714,TRUE
LFUS,21.9589,3.2029,1.086,5.0016,2.33,28.9225,0.3532,7.3986,3.2379,4.7791,FALSE
DRI,17.2715,3.7689,1.342,5.5336,5.33,234.2193,0.5073,3.747,3.7689,1.4044,FALSE
SM,0,0.4351,0,-65.4149,4.12,,0.4434,0.5738,0.4343,7.3576,FALSE
PNM,19.7109,1.5547,3.263,-6.6652,2.65,,0.3069,0.7305,1.5547,6.7468,TRUE
SNDK,39.8448,2.298,2.308,4.6552,6.39,0,2.3082,4.2719,2.2984,1.7378,FALSE
DO,5.6995,0.5793,0,-3.9552,6.44,,0.8565,1.1911,0.5793,11.4591,FALSE
LXK,7.7252,1.4019,2.411,-0.3496,4.05,,0.5058,2.0992,1.3999,3.7728,FALSE
NTAP,15.7099,2.0629,0.973,13.0291,3.7,46.4211,2.2018,2.6121,2.0725,1.9308,FALSE
CFR,11.1168,1.0203,1.143,8.1776,6.91,58.8435,2.2649,,1.0203,,FALSE
BBOX,7.6126,0.602,1.448,33.0573,3.25,29.5276,1.0664,0.9141,0.602,,FALSE
CTXS,22.16,4.8582,0.844,8.7975,4.5,0,0.9165,2.2385,4.8584,1.7834,FALSE
FCFS,14.0112,2.4814,1.683,6.7213,10.41,0,4.7853,5.6309,2.4436,2.1333,TRUE
CKH,0,0.6156,0,-15.6239,20.86,,4.1331,0.8229,0.6227,7.3142,FALSE
DVA,16.3029,2.6807,1.222,6.4411,2.41,,1.5136,4.073,2.6966,5.048,TRUE
HNT,18.5227,2.6126,0.631,7.7706,2.45,0,1.0741,4.1378,2.6118,1.3413,FALSE
FII,14.2383,3.7893,1.152,9.5949,4.28,54.595,,,3.7896,0.7261,FALSE
CRY,34.6189,1.7073,0,3.077,18.55,30.6525,3.1118,9.0344,1.7045,0,TRUE
HIG,10.3142,0.9111,1.05,14.769,1.52,20.4276,,,0.9287,,FALSE
AKR,32.1163,2.0902,0,-18.9191,6.15,197.634,,,2.0534,11.0087,FALSE
IRM,38.8694,11.0313,4.69,4.4845,11.05,999.5869,0.8229,1.5323,11.0216,5.5112,FALSE
PB,10.0192,0.8244,1.011,10.5577,9.57,29.8067,,,0.8245,,FALSE
PERY,0,0.842,0.632,4.9349,5.59,0,1.6364,4.5068,0.8384,3.0454,FALSE
EL,28.5544,9.2702,2.212,4.1564,3.51,24.8498,1.1393,6.7265,9.2497,0.9346,FALSE
RGA,10.0324,0.9001,0,36.8859,1.74,14.8594,,,0.9076,,FALSE
PES,0,0.2315,0,-21.1006,4.08,,0.8814,-0.0095,0.2315,,FALSE
PZZA,22.2353,61.1481,1.115,6.6205,4.87,27.8308,0.6919,7.576,62.0888,1.4495,TRUE
YHOO,139.9791,0.8734,5.516,-11.717,2.95,,5.4052,1.7405,0.8721,,TRUE
GEF,8.9269,1.3183,1.338,8.129,14.37,161.9032,0.7881,2.906,1.5756,3.6274,FALSE
PFG,8.4136,1.126,0.942,40.0356,1.93,43.8438,,,1.1312,,FALSE
PPS,38.2601,2.4371,5.458,0.8071,2,118.6533,,,2.4422,4.471,FALSE
BYD,15.979,3.3047,0.074,12.3275,5.63,,0.5185,1.2851,3.288,5.9259,FALSE
ATI,0,0.5221,0,-1.2454,4.94,,0.8013,1.2253,0.5222,,FALSE
MCRI,15.1303,1.5193,1.187,0.1878,5.31,0,0.351,5.4256,1.4998,0.8435,FALSE
SRCL,24.3092,4.5905,1.367,3.0518,3.9,0,1.1411,6.1752,4.5977,5.2327,FALSE
MOV,11.8222,1.2538,0.633,9.634,13.26,11.8353,3.5078,,1.2531,0.4918,FALSE
ETFC,43.6369,1.0465,0.7,12.5724,1.07,0,,,1.0523,5.0813,FALSE
ARW,9.1754,1.1613,0,10.1709,2.06,0,1.0707,3.6312,1.1616,2.4735,FALSE
UTEK,0,1.3615,6.104,1.1347,6.4,,8.2733,7.588,1.3569,,FALSE
ANF,31.2514,1.2587,1.052,10.3413,8.39,32.8787,0.7258,,1.2561,1.3164,FALSE
NOV,10.0652,0.6321,0,8.4505,4.52,23.3567,1.1782,2.8906,0.6321,1.1646,FALSE
BFS,34.1335,3.4319,0,2.3577,6.7,111.6479,,,3.4212,9.0981,FALSE
DGX,13.8554,1.8486,1.351,6.2877,6.37,28.9043,0.8815,6.2344,1.8531,2.1439,FALSE
MHO,7.4802,0.7315,0,-21.5495,5.68,0,0.6856,2.8538,0.7315,5.176,FALSE
ROK,16.0158,5.7149,2.462,7.523,6.33,51.5677,2.3389,4.5871,5.7159,1.2605,FALSE
AMT,53.5874,7.7559,2.776,4.0575,2.12,100.8302,,,7.7501,5.9069,FALSE
ROCK,17.6398,1.4683,0.742,12.3526,4.88,0,1.2612,4.4059,1.4563,2.6615,FALSE
AMZN,387.792,16.9647,1.228,3.2297,0.79,0,0.7738,5.5967,16.959,2.061,FALSE
RL,12.4403,1.8483,1.08,6.1683,1.49,32.4046,1.3904,5.0692,1.8486,0.8937,FALSE
BXP,28.1508,3.0376,6.186,1.0022,2.59,211.7096,,,3.0376,6.0692,FALSE
APH,20.1978,4.664,2.048,5.6654,3.1,21.5892,2.8411,5.8397,4.6679,2.2044,FALSE
UFPI,15.1924,1.6507,1.42,10.1477,3.61,45.1605,1.5549,7.5574,1.65,0.4861,FALSE
PXD,0,1.9867,0,-6.9231,2.24,,1.554,2.2074,2.148,3.2005,FALSE
LXP,13.8345,1.1788,9.324,-8.5604,4.62,119.4324,,,1.1825,7.1285,TRUE
VLO,6.9043,1.2633,1.113,14.4827,1.42,80.3691,1.1167,3.9571,1.2859,0.8996,FALSE
HHS,17.0346,0,0,0,3.11,204.7521,,,0,,TRUE
LLL,16.2538,2.1197,3.126,9.5521,2.73,,0.331,2.7445,2.1266,13.6917,FALSE
FFIN,16.7457,2.1032,0,5.4634,17.61,41.8784,,,2.1194,,TRUE
CHRW,19.7422,8.69,1.896,6.8493,3.36,50.6916,1.1555,11.678,8.7003,1.1207,FALSE
COO,22.2931,2.3824,1.394,2.8514,4.86,0,0.5259,4.9658,2.3823,3.1536,FALSE
ONB,11.2076,0.8623,0,3.0324,5.81,2.7261,,4.7092,0.864,3.2566,TRUE
FWRD,19.0805,2.572,1.261,3.4243,5.51,16.0002,1.3066,9.0394,2.6135,0.7125,FALSE
ACN,19.4103,10.2567,1.727,5.8103,2.76,84.1507,0.8424,7.3156,10.4061,0.0054,FALSE
HAIN,17.8731,1.9398,1.173,4.683,5.9,0,1.2817,5.4363,1.9398,2.8952,TRUE
YUM,20.1451,30.6448,1.593,4.0166,2.17,144.8582,0.3608,5.2901,31.465,1.4906,FALSE
MAN,13.3065,2.04,1.143,8.322,1.9,47.845,1.4412,4.6055,2.0561,1.1154,FALSE
MAA,19.1365,2.2077,4.466,-0.3535,2.41,143.4537,,,2.2068,5.8838,FALSE
PLD,20.8034,1.3446,12.314,-3.1657,2.44,185.1677,,,1.3434,9.4627,FALSE
OII,11.0864,1.772,0,12.8531,2.44,96.4638,1.6203,3.5972,1.7719,1.2939,FALSE
FEIC,18.6403,2.9137,1.439,6.4217,5.51,25.4235,1.8489,7.6905,2.9137,0,FALSE
FE,12.3445,1.1362,3.813,3.9045,1.43,,0.3081,0.7034,1.1348,5.3859,FALSE
SHOO,16.5121,2.8082,1.921,6.375,6.77,0,0.8467,9.2159,2.8484,0,FALSE
VRSN,25.3083,0,2.03,7.386,15.29,0,1.2828,-8.0621,-7.5647,2.8013,TRUE
TSCO,27.15,7.8465,1.528,1.7494,4.83,24.0508,0.0951,11.4909,7.853,0.2169,FALSE
PWR,20.9267,0.8692,1.255,13.3304,2.45,,1.4537,3.4978,0.9082,1.0847,FALSE
VSH,15.4793,1.0115,1.222,5.9783,11.94,,2.9867,2.0234,1.0114,1.5941,TRUE
AEE,18,1.6094,2.328,0.3041,2.19,331.5533,0.4859,0.8925,1.6096,3.5518,TRUE
ATML,68.7429,3.8724,1.479,2.2933,1.41,0,1.9212,7.647,3.8631,0.5199,TRUE
PLT,14.7269,3.8184,0.911,10.446,2.45,30.0028,5.0705,2.9253,3.8184,3.4325,FALSE
TECD,12.0486,1.1198,1.682,6.9504,9,0,0.8854,5.6105,1.1194,0.8767,FALSE
MED,15.2391,3.7101,1.009,7.9403,6.26,0,2.9172,,3.6982,0.7994,FALSE
NVDA,18.7763,3.0743,1.787,7.8843,5.38,21.5447,6.1567,5.5447,3.0686,1.5186,FALSE
ATR,24.2325,4.0461,2.498,3.7581,3.4,29.9444,2.2124,4.6722,4.0427,1.5962,FALSE
AF,22.6325,1.0076,0,6.3035,3.75,24.5906,,,1.0082,,TRUE
LVLT,24.1357,1.5598,0,3.9787,1.23,0,1.1377,0.809,1.5593,4.4089,FALSE
SEE,16.3934,15.0348,1.166,9.5142,1.68,20.5789,0.618,2.9216,15.1429,4.7007,FALSE
RMD,22.5453,5.2516,1.827,5.0626,10.12,46.3756,3.7299,8.9946,5.2534,0.8247,FALSE
CPRT,19.1565,5.2233,1.586,3.2737,3.87,0,3.2431,5.5424,5.6074,1.5877,FALSE
CTSH,18.9022,3.4349,1.026,5.9019,1.25,0,2.654,4.9313,3.4296,1.6614,FALSE
DAKT,46.7019,1.5993,0.811,2.4844,20.09,138.6806,1.1787,4.5682,1.5984,0.4712,TRUE
ISRG,33.7025,4.4056,2.117,3.6591,4.78,0,3.9726,22.6211,4.4032,0.5239,FALSE
MTD,23.7229,14.3278,1.956,4.0667,4.5,0,0.8575,6.6947,14.27,1.0676,FALSE
ALB,15.4843,1.7203,1.418,2.3694,6.32,18.6741,0.4742,2.0183,1.7201,5.4832,FALSE
CNX,0,0.3668,0,-29.9257,6.09,7.6923,0.1625,0.5033,0.3668,24.5959,FALSE
TBI,11.6464,1.6344,0.817,5.0339,1.78,0,2.1549,5.8345,1.6323,1.7587,FALSE
AET,13.433,2.1082,1.034,10.3152,4.88,27.2444,0.471,2.7771,2.1033,1.4759,FALSE
DSPG,116.3942,1.2428,1.699,0,2.4,,1.8491,,1.2428,,FALSE
BPFH,14.167,1.1972,0,10.9683,5.02,58.3327,,,1.2007,,TRUE
RSG,21.3723,1.9489,3.114,4.7801,3.15,60.4179,0.5425,2.6574,1.9582,2.9033,FALSE
MINI,19.1426,1.4767,0.988,4.0939,12.35,87.3185,0.8752,1.4468,1.4805,9.2515,FALSE
EBAY,10.7475,3.9629,1.624,11.9783,1.43,0,2.9828,2.607,3.9451,,TRUE
DAR,14.8291,0.7265,0,14.0604,5.39,0,1.1905,2.2454,0.7265,4.751,TRUE
GS,8.125,0.8234,0.545,7.8365,0.83,50.0749,,2.1667,0.8741,26.8211,FALSE
SCSC,12.4695,1.0956,1.347,3.7556,3.63,0,1.0025,4.5975,1.0871,1.0759,FALSE
SRE,18.7567,2.0164,1.816,-0.8612,2.78,47.1789,0.4126,1.1827,2.0157,4.5034,FALSE
MCO,17.455,0,1.238,6.6462,3.67,30.7389,2.4901,4.5929,-28.0034,1.8694,FALSE
EXP,15.433,2.4504,1.624,5.6294,2.23,10.7284,1.0305,3.9926,2.4506,1.7918,FALSE
PCLN,20.0437,5.5915,0.82,5.8355,1.39,0,2.2884,6.7211,5.6109,1.7439,FALSE
OUTR,3.1357,0,0.903,52.3154,7.21,29.1238,0.5703,2.7966,-20.3291,2.5423,FALSE
FFIV,17.1355,4.7708,0.972,10.2905,5.8,0,1.334,7.2042,4.771,0,FALSE
AKAM,22.0266,2.2469,0.87,5.9925,1.48,0,3.0233,6.2837,2.2561,0.8153,FALSE
HIW,43.0403,2.5516,8.551,-10.8232,3.36,232.5374,,,2.552,6.6395,FALSE
RAI,17.133,3.7294,3.463,0.3121,2.29,184.2863,0.5262,5.7251,3.734,2.466,TRUE
CALM,6.7353,2.6979,0.531,15.1573,26.49,33.3526,1.718,9.8717,2.6979,0.0507,FALSE
SLM,9.2311,1.5033,2.662,-3.9702,6.54,33.1307,,,1.5026,1.8149,TRUE
SSD,22.4739,1.8387,1.53,5.0544,7.15,52.4939,3.8418,12.0701,1.8423,0,FALSE
DVN,6.4786,1.3437,0,0.7523,1.21,,1.0364,-1.3872,1.3212,,FALSE
GOOGL,30.1765,4.0043,1.228,3.3562,0.87,0,4.3823,,3.9359,0.2137,FALSE
RHT,57.9261,8.3651,1.57,5.7248,2.55,0,1.1685,4.3664,8.3654,2.0259,FALSE
ESS,53.1415,2.0523,10.659,-1.7071,3.16,0,,,2.0729,6.827,FALSE
ISCA,22.851,1.0742,2.739,-0.1994,4.53,0,1.7036,2.6848,1.085,1.4884,FALSE
NFLX,302.9698,16.5773,4.07,-2.2902,2.41,0,0.6547,4.791,16.5828,6.442,TRUE
GEO,13.8866,2.0352,2.104,1.2119,3.1,108.891,1.3414,1.641,2.0356,6.2364,FALSE
A,23.7868,2.8681,1.863,4.3538,1.59,23.6429,2.6732,2.7391,2.8661,2.1355,FALSE
MATW,16.9721,2.1715,1.291,5.6965,8.4,107.1066,1.491,2.6882,2.1715,2.1316,FALSE
ANTM,12.4732,1.3583,1.154,10.9289,5.13,90.1603,1.3145,4.2034,1.357,,FALSE
HW,28.4647,4.6052,0,6.5409,2.49,0,2.0625,2.453,4.6052,3.4551,FALSE
CME,24.475,1.5298,1.673,4.4659,2.58,392.619,0.0576,0.7689,1.5357,1.0109,FALSE
CLI,30.6549,1.0862,0,-0.3571,5.2,,,,1.0829,28.438,FALSE
