Equity,PE,PB,PEG,Free_CASH,SI_INT,DIV_PAY,QUICK_RATIO,ALT_SCORE,MKT_TO_BOOK,DEBT_TO_EBITBA,M3_LOW_VOL
BF/B,28.8735,13.608,3.161,1.8412,6.39,32.1387,0.8159,7.5293,14.2028,1.6409,TRUE
HR,29.0165,2.2734,0,-0.4338,2.98,36.001,0.8609,7.172,2.2537,1.5916,FALSE
COG,208.0325,4.0354,0,-3.6357,1.92,,0.5017,,4.0354,3.3462,FALSE
AXE,9.5477,1.0939,1.438,4.8606,2.26,0,1.2781,3.7115,1.0838,5.1826,FALSE
CPB,19.8518,11.5845,6.357,5.2668,4.31,50.5155,0.376,3.9512,11.6231,2.992,TRUE
GXP,21.1314,1.2225,3.081,1.6248,2.1,36.4981,0.4193,0.8667,1.2222,4.4441,TRUE
CCL,15.8992,1.3955,0.725,6.7387,2.45,86,0.2005,2.6447,1.4177,2.0916,FALSE
KMT,7.8085,1.2437,3.835,15.2645,1.29,,1.196,2.2528,1.2438,,FALSE
CTL,14.8738,0.9596,0,16.5364,5.47,86.5286,0.4494,1.2656,0.9688,2.9769,FALSE
LZB,13.3294,1.8448,0.776,6.701,6.51,19.3633,1.4012,6.8816,1.856,0.0371,FALSE
LG,20.6181,1.7885,4.039,3.4542,7.24,22.9389,1.5516,6.1445,1.7888,0.006,FALSE
CI,15.3196,2.7323,1.246,6.7155,1.67,0,0.2382,,2.7436,1.3093,FALSE
LDL,12.8835,1.8362,0.654,3.5287,3.26,0,2.5911,6.5707,1.8256,0.2936,TRUE
FTR,79.693,0.8989,0,9.3447,9.3,,0.7961,1.0534,0.8989,7.6959,TRUE
MDC,14.0479,0.7693,0.565,-0.129,3.5,53.9815,1.9662,2.7628,0.7712,9.0325,FALSE
ALE,17.9301,1.4742,0,1.9813,5.17,135.2186,0.7923,1.1386,1.4702,4.2413,FALSE
VASC,23.0478,3.4341,0.931,1.0237,4.67,0,3.6388,23.9202,3.4282,0,TRUE
CLX,26.0239,84.0691,3.678,4.4116,3.28,65.5629,0.6362,5.737,84.1265,1.8501,FALSE
MLI,17.6563,1.7653,0,9.0738,2.89,29.3298,2.5136,5.4338,1.7653,1.2568,TRUE
CMS,21.0952,2.8065,3.091,-0.096,2.92,75.4717,0.5274,0.8421,2.8134,4.9733,TRUE
NFG,16.319,2.1009,0,-4.7588,5.16,,0.6019,0.4065,2.1021,,FALSE
CCE,18.5042,11.3122,3.711,5.6798,2.13,41.0256,0.688,2.2719,11.2931,3.3868,TRUE
NPK,13.8337,1.6483,0,7.1049,11.05,0,3.2414,2.3198,1.6478,0,FALSE
CL,23.4075,0,2.745,3.8006,2.86,,0.6955,10.7766,-197.6228,2.0293,FALSE
NJR,20.8913,2.6472,0,2.5988,3.64,42.2678,0.3599,1.8267,2.6507,5.2795,TRUE
BKS,0,0.9384,1.586,-17.9698,3.6,14.3799,0.0691,2.3874,0.9705,1.1706,FALSE
CMA,11.6073,0.7542,1.285,12.9602,2.13,28.6822,0.1025,2.2054,0.7586,0,FALSE
OGE,15.3684,1.5779,0,6.0527,2.87,186.7942,0.4032,1.1983,1.5779,3.4921,TRUE
CA,16.0494,2.1754,1.317,8.47,3.36,47.9452,1.0756,3.9979,2.1982,1.3629,FALSE
OLN,15.1067,0.8805,2.098,5.9686,2.14,,1.0241,0.8897,0.8806,11.6568,FALSE
CSC,6.9507,1.9294,3.107,14.2416,1.71,11365.4843,1.3534,2.5828,1.9289,2.4805,FALSE
CAG,18.2355,5.0192,2.089,5.4905,1.92,67.1933,0.2505,2.5586,5.0192,14.3548,TRUE
OMI,18.5067,2.3404,2.707,10.7979,7.6,49.108,0.7042,6.2586,2.3435,2.1497,FALSE
ED,18.1449,1.6524,6.166,0.0178,6.3,107.9545,0.4992,1.0256,1.6535,4.0129,TRUE
OXM,18.0452,3.1674,1.296,3.0711,4.53,23.4505,0.5442,6.2997,3.1675,0.5225,FALSE
SCI,17.785,3.657,1.569,7.1973,3.8,32.548,0.5073,0.7335,3.6707,0.3283,TRUE
BIG,12.1695,2.5018,0.939,0,11.53,9.8507,0.0844,,2.4994,0.9257,FALSE
PKE,16.6582,1.7125,0,4.6799,5.66,49.2894,0.0798,3.0897,1.7125,3.4359,FALSE
AFG,12.23,1.2666,1.488,21.4222,1.29,157.6558,,,1.2648,,FALSE
GLW,17.8913,1.2658,1.823,7.055,3.29,68.76,2.1222,2.1579,1.3252,1.7885,TRUE
PVH,9.9711,1.2725,1.432,10.8404,0.67,1.3925,0.874,4.3281,1.2797,4.0038,FALSE
CMI,11.1506,2.3464,2.527,7.4541,2.45,2.3025,0.7947,3.9127,2.3911,3.1602,FALSE
PNY,29.9526,3.1786,4.702,-2.2166,3.83,27.3331,0.1423,1.2514,3.1855,5.853,TRUE
AEL,5.8099,0.587,0,44.7808,7.67,53.2368,0.3181,1.1421,0.5884,7.5038,TRUE
DHR,21.7377,2.4697,1.438,5.339,2.19,12.6223,0.7706,5.8053,2.4643,2.8373,FALSE
